EV ID,Time of Arrival,Time of Departure,Initial SOC,Desired SOC,Duration of Stay,Maximum Battery Capacity
V1,08:26,15:06,12,80,06:40,95
V2,07:03,15:05,27,80,08:02,73
V3,10:48,18:45,40,80,07:57,99
V4,08:30,17:45,34,80,09:15,45
V5,08:25,17:12,51,80,08:47,66
V6,07:58,15:42,55,80,07:44,73
V7,07:11,17:14,54,80,10:03,56
V8,07:52,15:56,42,80,08:04,57
V9,08:35,17:05,37,80,08:30,62
V10,07:47,16:13,10,80,08:26,50
V11,09:01,18:30,52,80,09:29,93
V12,06:33,14:38,58,80,08:05,71
V13,09:38,17:17,33,80,07:39,81
V14,07:20,18:31,16,80,11:11,55
V15,07:41,16:03,52,80,08:22,46
V16,08:08,17:10,51,80,09:02,90
V17,07:24,16:31,21,80,09:07,62
V18,07:52,16:21,46,80,08:29,55
V19,07:21,15:57,49,80,08:36,51
V20,07:37,17:16,44,80,09:39,84
V21,09:08,16:52,19,80,07:44,92
V22,08:13,17:02,19,80,08:49,67
V23,08:36,18:28,19,80,09:52,53
V24,10:15,18:29,35,80,08:14,43
V25,07:02,14:51,29,80,07:49,79
V26,08:14,16:12,15,80,07:58,95
V27,09:25,19:25,13,80,10:00,80
V28,06:51,15:16,43,80,08:25,60
V29,07:01,16:13,32,80,09:12,44
V30,08:32,16:17,18,80,07:45,76
V31,08:19,15:47,43,80,07:28,76
V32,08:11,16:04,21,80,07:53,69
V33,08:35,16:07,30,80,07:32,100
V34,09:19,18:40,48,80,09:21,40
V35,08:15,17:27,59,80,09:12,72
V36,07:50,17:17,22,80,09:27,95
V37,08:29,17:15,11,80,08:46,65
V38,07:28,15:09,33,80,07:41,51
V39,07:33,15:36,34,80,08:03,44
V40,06:59,14:24,29,80,07:25,64
V41,07:37,16:54,40,80,09:17,73
V42,09:45,19:12,57,80,09:27,62
V43,09:24,20:37,15,80,11:13,39
V44,08:27,18:14,52,80,09:47,74
V45,07:13,15:03,48,80,07:50,41
V46,07:28,14:41,18,80,07:13,48
V47,09:25,18:15,26,80,08:50,63
V48,06:49,15:12,40,80,08:23,44
V49,09:49,19:33,42,80,09:44,76
V50,09:58,20:51,45,80,10:53,78
V51,09:09,15:38,34,80,06:29,84
V52,09:05,19:14,27,80,10:09,71
V53,07:41,16:23,28,80,08:42,78
V54,08:17,17:46,34,80,09:29,61
V55,09:29,18:57,39,80,09:28,75
V56,08:43,17:23,48,80,08:40,60
V57,07:37,16:58,39,80,09:21,76
V58,07:34,16:30,37,80,08:56,71
V59,09:15,17:31,40,80,08:16,52
V60,08:18,17:01,54,80,08:43,57
V61,08:02,17:48,48,80,09:46,42
V62,07:47,15:03,55,80,07:16,49
V63,06:16,14:40,58,80,08:24,53
V64,09:08,18:41,12,80,09:33,44
V65,05:45,14:59,23,80,09:14,86
V66,05:22,13:43,31,80,08:21,90
V67,09:14,17:03,51,80,07:49,54
V68,09:49,19:24,15,80,09:35,90
V69,08:55,15:53,34,80,06:58,74
V70,06:39,15:26,34,80,08:47,76
V71,08:24,16:41,51,80,08:17,91
V72,08:12,16:24,50,80,08:12,86
V73,08:52,18:52,16,80,10:00,84
V74,09:53,15:45,23,80,05:52,97
V75,09:19,17:23,53,80,08:04,76
V76,07:26,15:25,44,80,07:59,41
V77,09:00,15:00,31,80,06:00,53
V78,10:27,19:27,19,80,09:00,89
V79,07:52,16:06,39,80,08:14,83
V80,10:48,19:39,55,80,08:51,39
V81,08:34,18:01,21,80,09:27,67
V82,06:50,15:27,40,80,08:37,94
V83,09:09,17:33,38,80,08:24,52
V84,09:38,19:03,10,80,09:25,89
V85,09:33,13:54,30,80,04:21,81
V86,05:17,13:43,27,80,08:26,53
V87,07:51,16:13,17,80,08:22,73
V88,07:45,17:25,13,80,09:40,93
V89,07:58,16:12,40,80,08:14,43
V90,06:29,13:45,37,80,07:16,55
V91,07:20,15:59,55,80,08:39,97
V92,07:56,14:05,57,80,06:09,92
V93,10:51,19:04,22,80,08:13,68
V94,07:41,14:35,56,80,06:54,76
V95,08:41,16:36,32,80,07:55,70
V96,08:23,18:16,25,80,09:53,76
V97,10:09,18:28,53,80,08:19,74
V98,07:26,13:18,42,80,05:52,87
V99,07:08,15:01,22,80,07:53,74
V100,06:33,15:13,23,80,08:40,73
V101,10:13,16:51,16,80,06:38,91
V102,09:17,16:27,46,80,07:10,66
V103,09:26,19:11,51,80,09:45,88
V104,08:39,17:05,44,80,08:26,99
V105,07:01,14:06,22,80,07:05,77
V106,10:23,19:06,10,80,08:43,62
V107,10:19,18:01,42,80,07:42,56
V108,09:37,18:44,31,80,09:07,60
V109,11:18,15:46,32,80,04:28,86
V110,10:23,18:53,22,80,08:30,50
V111,08:46,17:56,30,80,09:10,48
V112,10:10,18:58,54,80,08:48,84
V113,10:37,19:38,28,80,09:01,86
V114,08:04,13:52,24,80,05:48,93
V115,08:28,17:59,17,80,09:31,89
V116,09:05,17:34,37,80,08:29,54
V117,08:36,17:28,37,80,08:52,52
V118,07:13,09:12,35,80,01:59,40
V119,05:46,07:46,43,80,02:00,47
V120,07:41,15:47,20,80,08:06,83
V121,08:01,16:09,38,80,08:08,44
V122,14:51,22:58,52,80,08:07,67
V123,08:07,10:08,38,80,02:01,43
V124,07:45,15:52,59,80,08:07,71
V125,06:43,14:48,16,80,08:05,93
V126,07:56,16:01,30,80,08:05,75
V127,09:17,11:16,45,80,01:59,49
V128,09:18,17:23,17,80,08:05,42
V129,04:50,12:55,25,80,08:05,78
V130,07:09,15:15,40,80,08:06,69
V131,08:05,10:05,41,80,02:00,45
V132,08:08,16:13,28,80,08:05,90
V133,10:14,18:18,54,80,08:04,65
V134,09:23,17:29,28,80,08:06,74
V135,11:00,19:04,44,80,08:04,92
V136,10:46,18:50,46,80,08:04,98
V137,09:05,17:11,59,80,08:06,63
V138,05:41,13:48,14,80,08:07,86
V139,10:38,12:39,46,80,02:01,51
V140,08:05,16:11,10,80,08:06,50
V141,08:00,10:00,60,80,02:00,48
V142,06:40,14:44,49,80,08:04,98
V143,12:55,21:00,59,80,08:05,74
V144,11:58,20:03,24,80,08:05,68
V145,07:12,15:15,57,80,08:03,59
V146,08:28,16:31,48,80,08:03,46
V147,12:25,20:33,20,80,08:08,58
V148,10:44,18:50,25,80,08:06,79
V149,07:06,15:12,20,80,08:06,65
V150,06:22,14:28,53,80,08:06,94
V151,05:57,14:02,34,80,08:05,64
V152,15:22,17:36,57,80,02:14,52
V153,12:04,21:26,51,80,09:22,95
V154,13:49,16:48,49,80,02:59,82
V155,20:57,22:54,55,80,01:57,41
V156,20:11,33:37,19,80,13:26,58
V157,18:14,24:34,20,80,06:20,100
V158,11:06,17:28,60,80,06:22,68
V159,13:31,17:49,22,80,04:18,47
V160,13:39,17:56,40,80,04:17,96
V161,15:12,18:43,48,80,03:31,47
V162,14:12,19:52,12,80,05:40,51
V163,13:41,15:42,42,80,02:01,47
V164,17:24,25:19,41,80,07:55,67
V165,17:45,21:46,44,80,04:01,94
V166,10:14,17:42,47,80,07:28,41
V167,21:15,23:37,59,80,02:22,53
V168,18:53,22:16,48,80,03:23,89
V169,14:57,18:24,56,80,03:27,57
V170,10:01,18:59,48,80,08:58,52
V171,18:07,20:54,59,80,02:47,81
V172,15:26,22:02,54,80,06:36,48
V173,13:09,20:39,35,80,07:30,59
V174,16:46,25:45,31,80,08:59,73
V175,17:09,29:23,56,80,12:14,51
V176,14:06,18:07,11,80,04:01,43
V177,22:00,29:33,15,80,07:33,47
V178,22:21,26:19,13,80,03:58,46
V179,08:24,20:10,13,80,11:46,93
V180,10:40,14:19,30,80,03:39,68
V181,12:20,19:33,58,80,07:13,51
V182,02:43,11:18,55,80,08:35,88
V183,03:43,08:36,26,80,04:53,85
V184,09:39,13:41,40,80,04:02,67
V185,11:15,23:35,48,80,12:20,56
V186,09:54,17:11,43,80,07:17,87
V187,16:39,20:02,47,80,03:23,70
V188,15:55,24:36,45,80,08:41,58
V189,21:01,28:27,58,80,07:26,89
V190,18:37,26:42,51,80,08:05,40
V191,13:26,19:14,53,80,05:48,51
V192,18:38,22:15,44,80,03:37,88
V193,13:24,16:46,35,80,03:22,68
V194,10:43,16:35,55,80,05:52,83
V195,21:41,23:59,46,80,02:18,42
V196,15:44,19:12,29,80,03:28,63
V197,15:34,24:05,40,80,08:31,81
V198,17:05,23:45,16,80,06:40,100
V199,19:04,21:41,49,80,02:37,39
V200,15:27,17:56,47,80,02:29,64
V201,13:24,17:49,36,80,04:25,53
V202,13:06,17:42,55,80,04:36,60
V203,10:59,13:23,25,80,02:24,41
V204,19:43,22:12,46,80,02:29,63
V205,17:33,24:38,30,80,07:05,79
V206,17:03,21:10,57,80,04:07,83
V207,10:05,14:04,31,80,03:59,59
V208,10:06,17:30,38,80,07:24,92
V209,05:49,11:57,25,80,06:08,62
V210,17:47,24:38,47,80,06:51,48
V211,13:37,17:24,47,80,03:47,46
V212,16:38,25:59,26,80,09:21,69
V213,11:13,15:10,51,80,03:57,43
V214,17:02,31:36,36,80,14:34,98
V215,14:03,22:41,32,80,08:38,60
V216,21:30,26:21,27,80,04:51,63
V217,20:34,27:20,10,80,06:46,89
V218,07:58,09:54,46,80,01:56,49
V219,22:18,32:33,34,80,10:15,67
V220,13:20,18:26,43,80,05:06,46
V221,14:44,25:15,29,80,10:31,78
V222,19:40,31:33,32,80,11:53,65
V223,21:29,28:16,29,80,06:47,59
V224,11:45,25:17,38,80,13:32,91
V225,06:40,10:40,39,80,04:00,87
V226,16:34,28:06,32,80,11:32,86
V227,00:18,03:29,37,80,03:11,67
V228,04:20,08:27,38,80,04:07,40
V229,18:01,28:42,25,80,10:41,51
V230,08:24,17:23,17,80,08:59,47
V231,18:25,21:14,35,80,02:49,57
V232,19:17,30:47,53,80,11:30,72
V233,13:00,25:31,12,80,12:31,50
V234,09:52,14:07,39,80,04:15,93
V235,16:44,21:43,51,80,04:59,98
V236,18:33,20:48,48,80,02:15,60
V237,03:33,10:24,17,80,06:51,44
V238,16:03,19:26,51,80,03:23,72
V239,08:24,17:22,54,80,08:58,87
V240,01:50,05:22,47,80,03:32,91
V241,17:14,30:48,24,80,13:34,98
V242,12:07,17:06,44,80,04:59,88
V243,01:41,10:31,27,80,08:50,97
V244,14:10,23:25,32,80,09:15,66
V245,00:30,13:21,25,80,12:51,98
V246,04:52,08:18,32,80,03:26,49
V247,04:47,11:06,37,80,06:19,96
V248,13:02,14:59,46,80,01:57,49
V249,19:46,23:12,18,80,03:26,53
V250,06:31,09:19,23,80,02:48,46
V251,12:06,17:00,56,80,04:54,100
V252,18:08,23:18,18,80,05:10,79
V253,19:47,22:46,43,80,02:59,70
V254,15:37,22:18,23,80,06:41,74
V255,17:51,23:38,24,80,05:47,66
V256,09:47,24:18,21,80,14:31,93
