timestamp,DA_Price,actual_load,forecast_load,solar_generation,wind_on_generation,wind_off_generation,fossil_hard_coal_generation,fossil_gas_generation,date,hour,dayofweek,dayofmonth,dayofyear,lag_1h,lag_24h,lag_168h,rolling_mean_2h,rolling_mean_3h,rolling_mean_6h,forecasted_prices
2024-12-23 00,19.37,49172.04,42396.42,0.0,4714.85,14271.29,1911.33,3557.44,2024-12-23 00:00:00,0,0,23,358,26.32,2.7,0.09,22.844999999999466,27.86666666666711,41.606666666666726,19.063116
2024-12-23 01,13.26,48113.35,40711.37,0.0,5897.05,14578.66,1955.41,3268.7200000000003,2024-12-23 01:00:00,1,0,23,358,19.37,1.61,0.1,16.31499999999947,19.650000000000446,31.945000000000054,13.607058
2024-12-23 02,11.13,47176.9,39807.86,0.0,8163.6900000000005,13519.05,1337.37,3215.25,2024-12-23 02:00:00,2,0,23,358,13.26,0.0,0.05,12.194999999999467,14.586666666667114,24.650000000000052,11.210383
2024-12-23 03,7.73,46257.3,39454.31,0.0,8723.279999999999,14458.19,1135.4299999999998,2987.6,2024-12-23 03:00:00,3,0,23,358,11.13,-0.74,0.0,9.429999999999467,10.706666666667113,19.286666666666722,7.5551605
2024-12-23 04,6.4,46687.54,39276.03,0.0,9059.59,14386.1,1145.1,2892.15,2024-12-23 04:00:00,4,0,23,358,7.73,-2.0,0.46,7.0649999999994675,8.420000000000448,14.035000000000055,7.065989
2024-12-23 05,6.3,48420.35,40916.08,0.0,9176.04,14291.130000000001,1145.2,3253.15,2024-12-23 05:00:00,5,0,23,358,6.4,-1.24,1.38,6.349999999999467,6.8100000000004455,10.69833333333339,8.445483
2024-12-23 06,17.45,52537.39,45476.44,0.0,9344.39,14541.119999999999,1298.4299999999998,3532.13,2024-12-23 06:00:00,6,0,23,358,6.3,-0.66,7.73,11.874999999999467,10.050000000000445,10.378333333333389,16.86804
2024-12-23 07,53.37,57822.75,51794.630000000005,0.0,9286.06,14847.95,1370.01,5131.21,2024-12-23 07:00:00,7,0,23,358,17.45,2.29,50.0,35.409999999999464,25.706666666667115,17.06333333333339,53.812153
2024-12-23 08,66.94,62999.53,56384.93,1.33,8609.98,15032.11,2264.84,5230.49,2024-12-23 08:00:00,8,0,23,358,53.37,6.45,107.9,60.15499999999946,45.92000000000045,26.365000000000055,67.04892
2024-12-23 09,67.36,64690.48,58248.270000000004,56.97,8682.44,15054.06,2844.89,4794.18,2024-12-23 09:00:00,9,0,23,358,66.94,22.41,109.0,67.14999999999947,62.556666666667105,36.30333333333339,67.06891
2024-12-23 10,56.0,63094.87,57893.82,195.81,8287.85,14698.7,3030.2599999999998,4133.38,2024-12-23 10:00:00,10,0,23,358,67.36,20.66,100.1,61.67999999999947,63.43333333333377,44.57000000000006,55.722378
2024-12-23 11,54.9,61146.5,57568.729999999996,312.2,8073.04,14123.26,3142.5699999999997,4144.35,2024-12-23 11:00:00,11,0,23,358,56.0,23.54,97.58,55.44999999999946,59.42000000000044,52.67000000000005,54.6998
2024-12-23 12,56.97,60441.06,57025.24,366.7,8077.18,15029.36,2877.06,4508.07,2024-12-23 12:00:00,12,0,23,358,54.9,22.62,93.09,55.93499999999946,55.95666666666711,59.256666666666725,55.92208
2024-12-23 13,57.7,60517.32,57308.23,336.72,7777.29,14933.43,3276.9,5526.77,2024-12-23 13:00:00,13,0,23,358,56.97,22.55,81.7,57.33499999999947,56.523333333333774,59.97833333333339,58.25772
2024-12-23 14,64.55,62275.7,57292.31,167.44,7810.349999999999,14865.15,3970.67,7477.34,2024-12-23 14:00:00,14,0,23,358,57.7,28.07,80.1,61.12499999999947,59.74000000000044,59.58000000000006,64.950424
2024-12-23 15,76.34,64410.79,58252.56,90.41,6918.46,14609.39,4667.27,9941.33,2024-12-23 15:00:00,15,0,23,358,64.55,41.77,95.95,70.44499999999947,66.19666666666711,61.07666666666672,75.50942
2024-12-23 16,117.27,67678.54000000001,59309.57,2.19,7289.469999999999,14111.029999999999,5573.4800000000005,12678.59,2024-12-23 16:00:00,16,0,23,358,76.34,59.9,101.11,96.80499999999947,86.05333333333378,71.28833333333338,117.79978
2024-12-23 17,130.32,70284.59,60726.46,0.0,6912.4800000000005,13453.92,6425.55,15733.86,2024-12-23 17:00:00,17,0,23,358,117.27,92.3,115.14,123.79499999999946,107.9766666666671,83.85833333333339,130.99911
2024-12-23 18,129.9,68297.89,59774.2,0.0,6019.04,12901.18,7505.35,16036.3,2024-12-23 18:00:00,18,0,23,358,130.32,86.2,89.9,130.10999999999945,125.83000000000044,96.01333333333338,129.64429
2024-12-23 19,135.96,65492.17,58106.259999999995,0.0,5713.81,11831.470000000001,7814.19,16258.279999999999,2024-12-23 19:00:00,19,0,23,358,129.9,71.23,75.0,132.92999999999947,132.06000000000043,109.05666666666673,134.76678
2024-12-23 20,145.8,62533.89,55574.96,0.0,5273.23,10357.99,7565.12,16112.66,2024-12-23 20:00:00,20,0,23,358,135.96,54.9,77.99,140.87999999999948,137.22000000000045,122.5983333333334,144.78882
2024-12-23 21,110.2,59402.71,52797.96,0.0,4997.58,8881.04,7865.16,15265.15,2024-12-23 21:00:00,21,0,23,358,145.8,39.91,70.1,127.99999999999946,130.6533333333338,128.24166666666673,110.31826
2024-12-23 22,105.82,55700.33,49998.229999999996,0.0,4119.33,7147.24,7758.87,12344.939999999999,2024-12-23 22:00:00,22,0,23,358,110.2,37.91,57.0,108.00999999999945,120.60666666666712,126.33333333333339,106.08084
2024-12-23 23,118.91,52232.33,47146.7,0.0,2879.77,4572.48,7682.1900000000005,9917.99,2024-12-23 23:00:00,23,0,23,358,105.82,26.32,17.61,112.36499999999945,111.64333333333377,124.43166666666673,118.19104
2024-12-24 00,86.03,49348.17,46325.94,0.0,2293.7200000000003,2922.21,7444.4400000000005,7086.889999999999,2024-12-24 00:00:00,0,1,24,359,118.91,19.37,40.55,102.46999999999946,103.58666666666711,117.12000000000006,87.27982
2024-12-24 01,82.84,47723.869999999995,45078.84,0.0,1732.32,1563.65,6662.02,6203.23,2024-12-24 01:00:00,1,1,24,359,86.03,13.26,22.75,84.43499999999946,95.92666666666712,108.26666666666672,82.13782
2024-12-24 02,81.89,46368.21,44259.05,0.0,1367.78,1470.0,5859.73,6200.07,2024-12-24 02:00:00,2,1,24,359,82.84,11.13,19.75,82.36499999999947,83.58666666666711,97.61500000000005,81.75549
2024-12-24 03,78.0,45603.37,43525.479999999996,0.0,1249.71,2419.7,5482.74,6138.66,2024-12-24 03:00:00,3,1,24,359,81.89,7.73,25.72,79.94499999999945,80.91000000000044,92.24833333333339,78.099
2024-12-24 04,78.78,45375.01,43805.479999999996,0.0,1797.6000000000001,3311.55,5142.0,6198.360000000001,2024-12-24 04:00:00,4,1,24,359,78.0,6.4,66.9,78.38999999999946,79.55666666666711,87.74166666666673,78.76701
2024-12-24 05,80.6,46883.47,45578.21,0.0,2305.41,4725.82,5698.78,6808.84,2024-12-24 05:00:00,5,1,24,359,78.78,6.3,66.9,79.68999999999946,79.1266666666671,81.35666666666673,80.54706
2024-12-24 06,85.07,50708.44,49796.47,0.0,2561.67,6429.43,7191.24,8693.62,2024-12-24 06:00:00,6,1,24,359,80.6,17.45,104.95,82.83499999999945,81.48333333333377,81.19666666666673,84.61701
2024-12-24 07,100.83,56358.45,56392.96,0.0,3038.57,8294.21,8104.96,13264.95,2024-12-24 07:00:00,7,1,24,359,85.07,53.37,105.68,92.94999999999945,88.83333333333377,84.19500000000005,101.61968
2024-12-24 08,115.09,61493.869999999995,61011.56,0.01,3204.5,9957.51,8852.66,17776.72,2024-12-24 08:00:00,8,1,24,359,100.83,66.94,116.18,107.95999999999947,100.33000000000044,89.7283333333334,115.10948
2024-12-24 09,120.95,64816.17,61801.09,27.94,3701.99,10627.220000000001,8986.75,19230.010000000002,2024-12-24 09:00:00,9,1,24,359,115.09,67.36,111.34,118.01999999999947,112.29000000000046,96.88666666666673,121.40652
2024-12-24 10,120.0,65510.87,61280.479999999996,111.61,4311.43,9450.21,8821.74,19430.97,2024-12-24 10:00:00,10,1,24,359,120.95,56.0,108.0,120.47499999999945,118.68000000000045,103.75666666666673,119.893486
2024-12-24 11,118.16,65624.24,60229.02,132.13,4560.52,8602.65,8663.84,19124.489999999998,2024-12-24 11:00:00,11,1,24,359,120.0,54.9,102.4,119.07999999999946,119.70333333333377,110.01666666666672,117.17298
2024-12-24 12,117.49,65636.57,59414.4,134.03,4672.85,8037.41,8981.41,19547.41,2024-12-24 12:00:00,12,1,24,359,118.16,56.97,102.73,117.82499999999945,118.55000000000045,115.42000000000007,117.542915
2024-12-24 13,115.38,65391.06,59920.18,102.83,4483.27,7816.32,9480.36,21144.16,2024-12-24 13:00:00,13,1,24,359,117.49,57.7,106.21,116.43499999999946,117.01000000000045,117.84500000000007,116.08291
2024-12-24 14,117.98,64833.65,59984.06,58.92,4063.43,5661.83,10188.029999999999,24057.42,2024-12-24 14:00:00,14,1,24,359,115.38,64.55,109.59,116.67999999999947,116.95000000000044,118.32666666666671,117.14118
