ev_id,toa,tod,i_soc,d_soc,dos,max_battery_capacity,day,date,toa_hr,tod_hr,unique_ev
V1,2024-12-24 08:26:00,2024-12-24 15:06:00,12,80,0 days 06:40:00,95,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 15:00:00,V1_2024-12-24
V2,2024-12-24 07:03:00,2024-12-24 15:05:00,27,80,0 days 08:02:00,73,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V2_2024-12-24
V3,2024-12-24 10:48:00,2024-12-24 18:45:00,40,80,0 days 07:57:00,99,1,2024-12-24,2024-12-24 10:00:00,2024-12-24 18:00:00,V3_2024-12-24
V4,2024-12-24 08:30:00,2024-12-24 17:45:00,34,80,0 days 09:15:00,45,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V4_2024-12-24
V5,2024-12-24 08:25:00,2024-12-24 17:12:00,51,80,0 days 08:47:00,66,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V5_2024-12-24
V6,2024-12-24 07:58:00,2024-12-24 15:42:00,55,80,0 days 07:44:00,73,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V6_2024-12-24
V7,2024-12-24 07:11:00,2024-12-24 17:14:00,54,80,0 days 10:03:00,56,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 17:00:00,V7_2024-12-24
V8,2024-12-24 07:52:00,2024-12-24 15:56:00,42,80,0 days 08:04:00,57,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 15:00:00,V8_2024-12-24
V9,2024-12-24 08:35:00,2024-12-24 17:05:00,37,80,0 days 08:30:00,62,1,2024-12-24,2024-12-24 08:00:00,2024-12-24 17:00:00,V9_2024-12-24
V10,2024-12-24 07:47:00,2024-12-24 16:13:00,10,80,0 days 08:26:00,50,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V10_2024-12-24
V11,2024-12-24 09:01:00,2024-12-24 18:30:00,52,80,0 days 09:29:00,93,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 18:00:00,V11_2024-12-24
V12,2024-12-24 06:33:00,2024-12-24 14:38:00,58,80,0 days 08:05:00,71,1,2024-12-24,2024-12-24 06:00:00,2024-12-24 14:00:00,V12_2024-12-24
V13,2024-12-24 09:38:00,2024-12-24 17:17:00,33,80,0 days 07:39:00,81,1,2024-12-24,2024-12-24 09:00:00,2024-12-24 17:00:00,V13_2024-12-24
V14,2024-12-24 07:20:00,2024-12-24 18:31:00,16,80,0 days 11:11:00,55,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 18:00:00,V14_2024-12-24
V15,2024-12-24 07:41:00,2024-12-24 16:03:00,52,80,0 days 08:22:00,46,1,2024-12-24,2024-12-24 07:00:00,2024-12-24 16:00:00,V15_2024-12-24
