timestamp,DA_Price,actual_load,forecast_load,solar_generation,wind_on_generation,wind_off_generation,fossil_hard_coal_generation,fossil_gas_generation
2021-01-01 00,48.19,45252.55,48177.82,0.0,621.33,777.25,8489.0,17422.239999999998
2021-01-01 01,44.68,43700.59,46955.04,0.0,699.52,853.56,7400.2,14728.02
2021-01-01 02,42.92,42307.28,46425.64,0.0,837.8100000000001,791.99,6129.73,11936.33
2021-01-01 03,40.39,41484.490000000005,46709.42,0.0,951.52,903.55,4938.7300000000005,11572.3
2021-01-01 04,40.2,41680.83,47889.14,0.0,1082.32,875.8100000000001,5203.13,11448.52
2021-01-01 05,39.63,42365.58,50832.380000000005,0.0,1130.06,1088.76,5451.03,11526.54
2021-01-01 06,40.09,43270.19,55238.240000000005,0.0,1118.1399999999999,1024.51,5611.53,12235.64
2021-01-01 07,41.27,44642.55,59572.83,0.03,1006.95,1022.74,6867.21,12442.18
2021-01-01 08,44.88,45863.44,61446.64,23.33,940.48,1004.37,8059.63,14932.27
2021-01-01 09,45.0,46498.2,60681.61,77.25,1057.59,828.71,9348.6,16570.25
2021-01-01 10,47.2,46366.68,59131.1,134.5,1078.22,800.85,9785.07,17188.08
2021-01-01 11,50.78,46613.9,57740.79,149.28,1072.3899999999999,978.46,10153.33,17486.14
2021-01-01 12,45.49,47158.55,57697.56,166.76,973.25,1015.21,10128.16,17321.88
2021-01-01 13,44.73,47974.01,58617.41,149.29,954.43,1027.56,10144.57,18997.22
2021-01-01 14,46.59,49782.520000000004,60471.79,66.52,971.38,1020.22,10649.2,20909.08
2021-01-01 15,52.99,52224.76,62417.159999999996,5.27,1100.85,868.79,10772.119999999999,21692.74
2021-01-01 16,60.26,56551.899999999994,64906.09,0.0,1129.51,804.74,11382.4,22855.870000000003
2021-01-01 17,60.61,55358.02,62172.23,0.0,1114.57,937.6700000000001,11778.470000000001,23089.36
2021-01-01 18,60.36,53590.57,59482.91,0.0,1075.05,826.95,11757.7,22609.61
2021-01-01 19,57.4,51549.1,57149.34,0.0,1128.06,872.73,11545.24,22947.61
2021-01-01 20,53.86,49228.59,54692.71,0.0,1214.73,1019.6099999999999,11555.52,22752.07
2021-01-01 21,53.45,47118.37,52480.3,0.0,1217.99,922.15,11202.31,22416.940000000002
2021-01-01 22,49.72,44919.04,50433.59,0.0,1117.67,759.55,10717.56,21180.68
2021-01-01 23,46.69,43320.88,50319.07,0.0,1121.01,593.49,9324.029999999999,19028.59
2021-01-02 00,42.43,42089.04,48888.9,0.0,1054.3799999999999,265.67,7745.41,15268.57
2021-01-02 01,41.09,41056.97,47361.490000000005,0.0,940.51,239.17000000000002,6480.2699999999995,13692.54
2021-01-02 02,40.0,40656.35,46682.85,0.0,920.89,359.27,6315.57,13056.55
2021-01-02 03,37.55,40800.03,46338.66,0.0,792.31,406.3,6299.43,13093.36
2021-01-02 04,39.0,41692.12,46566.54,0.0,757.1800000000001,333.18,6441.030000000001,13018.21
2021-01-02 05,42.09,43436.56,47893.95,0.0,657.56,311.77,7682.93,13762.96
2021-01-02 06,44.96,45902.85,50000.68,0.0,622.73,622.79,9882.26,17733.559999999998
2021-01-02 07,48.45,48723.31,52864.86,0.06,597.31,321.36,11164.77,26026.78
2021-01-02 08,52.0,51280.78,54764.07,15.919999999999998,553.9300000000001,366.35,11654.83,30580.760000000002
2021-01-02 09,52.0,52735.87,55545.52,56.480000000000004,470.83,210.26,12042.369999999999,32357.64
2021-01-02 10,52.15,52965.33,55266.17,96.52,456.23,197.3,12348.34,33106.19
2021-01-02 11,55.95,52906.21,55653.96,92.34,427.07,515.14,12522.16,33682.42
2021-01-02 12,52.0,52971.07,55884.33,68.67,385.64,187.28,12705.33,33506.75
2021-01-02 13,50.69,53679.54,56353.99,49.94,403.37,137.16,12654.7,33282.92
2021-01-02 14,53.45,54468.64,57004.76,29.38,351.03,229.98,12709.36,33737.33
2021-01-02 15,59.99,56258.94,57722.36,1.75,278.01,439.54,12656.53,33487.08
2021-01-02 16,62.0,60417.12,59574.18,0.0,321.03000000000003,423.76,12656.630000000001,33500.08
2021-01-02 17,63.08,58682.97,57116.729999999996,0.0,355.35,490.69,12666.17,33927.19
2021-01-02 18,62.17,56207.2,54505.04,0.0,370.03,501.67999999999995,12638.43,33507.05
2021-01-02 19,60.03,53695.4,52968.34,0.0,329.58,579.19,12633.87,33303.71
2021-01-02 20,55.03,50957.99,51307.1,0.0,324.38,318.03,12279.97,32614.73
2021-01-02 21,52.25,48638.69,49590.9,0.0,328.94,375.46000000000004,11603.5,29769.22
2021-01-02 22,48.45,46612.18,48092.43,0.0,330.75,709.11,11357.44,24740.04
2021-01-02 23,46.11,45010.61,47093.01,0.0,361.24,348.92,10322.43,18401.93
2021-01-03 00,43.0,43614.1,45903.82,0.0,388.62,1127.33,9546.8,14566.79
2021-01-03 01,39.55,42367.17,44514.75,0.0,433.03,723.24,8697.8,13497.65
2021-01-03 02,45.3,41644.880000000005,44175.01,0.0,522.98,1273.07,9126.3,14988.16
2021-01-03 03,43.0,41615.46,44456.86,0.0,585.99,1397.82,9209.27,14501.73
2021-01-03 04,43.0,42066.04,44650.36,0.0,687.35,1171.69,9159.66,13791.38
2021-01-03 05,42.0,42767.91,45229.06,0.0,889.05,1409.8899999999999,9026.23,13566.69
2021-01-03 06,45.3,44114.32,46561.33,0.0,967.63,2695.31,9764.23,16118.470000000001
2021-01-03 07,43.32,46785.56,48861.25,0.0,1127.56,2847.47,11270.44,17172.879999999997
2021-01-03 08,60.9,48917.28,51195.46,13.84,1150.39,2628.38,12106.1,20106.88
2021-01-03 09,72.23,50931.39,52583.84,45.39,1160.85,2745.84,12612.29,21479.84
2021-01-03 10,62.16,51771.32,53046.97,98.72,1263.48,3355.02,12652.97,21165.53
2021-01-03 11,60.9,52418.770000000004,53401.14,138.82,1565.44,2981.71,12645.16,21228.24
2021-01-03 12,59.0,52562.729999999996,53857.05,98.26,2181.5299999999997,3382.98,12649.1,20381.8
2021-01-03 13,52.65,52905.01,54704.84,79.91,2654.28,4024.74,12638.67,19245.57
2021-01-03 14,44.67,53825.06,55957.75,19.38,3051.14,5265.8099999999995,12012.6,18467.4
2021-01-03 15,57.67,55556.26,57393.270000000004,0.43,3195.1800000000003,5667.3,11699.4,19169.39
2021-01-03 16,70.0,59947.75,60150.89,0.0,3464.34,5849.78,12378.23,20694.92
2021-01-03 17,59.9,58369.55,57866.95,0.0,3610.61,6296.25,12228.03,19012.18
2021-01-03 18,44.3,56265.89,55878.7,0.0,3935.65,6329.68,10414.17,18792.28
2021-01-03 19,42.0,53812.56,54297.09,0.0,3772.7599999999998,6327.1900000000005,8978.5,16165.54
2021-01-03 20,41.23,51133.75,52196.04,0.0,4123.51,6191.0,7204.1,15223.73
2021-01-03 21,42.9,48664.119999999995,50452.66,0.0,4086.82,6164.7,7167.07,14677.24
2021-01-03 22,33.5,45990.83,48449.59,0.0,3837.46,6207.7,6572.9,12772.42
2021-01-03 23,41.96,44279.53,47459.02,0.0,3803.99,6269.49,5984.33,12560.67
2021-01-04 00,39.0,43217.34,46705.69,0.0,3852.66,6293.83,5765.24,9817.06
2021-01-04 01,37.14,42616.02,46411.880000000005,0.0,4060.63,6301.1900000000005,5718.8,9831.65
2021-01-04 02,35.79,42567.92,46256.57,0.0,4198.87,6306.13,5740.03,9850.73
2021-01-04 03,36.63,43225.83,46682.69,0.0,4256.37,6331.360000000001,5711.78,9922.439999999999
2021-01-04 04,41.83,45064.57,48325.81,0.0,4508.51,6390.96,5693.83,11526.17
2021-01-04 05,38.74,49963.97,52086.95,0.0,4678.360000000001,6419.2699999999995,6949.99,17072.23
2021-01-04 06,41.61,56307.54,57198.08,0.0,4710.06,6446.86,9091.96,21392.17
2021-01-04 07,60.0,62748.44,62394.57,0.02,4706.72,6443.27,11147.13,26112.47
2021-01-04 08,64.83,64840.03,64672.08,12.65,4887.03,6445.04,11810.130000000001,26145.03
2021-01-04 09,60.0,65714.7,64626.86,35.85,5072.37,6447.59,11590.3,26845.39
2021-01-04 10,58.4,66099.73999999999,63956.08,67.72999999999999,5052.18,6413.1,11813.51,27452.010000000002
2021-01-04 11,59.34,65816.06,63626.85,81.01,4989.29,6354.91,11759.39,27804.5
2021-01-04 12,58.4,65938.23000000001,63521.64,55.620000000000005,4877.639999999999,6336.48,11838.939999999999,27916.57
2021-01-04 13,59.91,65965.81999999999,64047.54,49.18,4620.6,6340.71,11820.970000000001,27903.57
2021-01-04 14,59.52,65826.98,65179.05,16.44,4592.1900000000005,6341.59,11811.86,27960.4
2021-01-04 15,62.06,66478.22,66225.08,0.28,4457.0599999999995,6337.11,11740.24,27653.46
2021-01-04 16,67.37,68984.81,68271.31,0.0,4383.469999999999,6365.26,11778.52,27772.67
2021-01-04 17,61.56,65022.9,64502.24,0.0,4383.3099999999995,6367.44,11519.5,25687.74
2021-01-04 18,42.9,62676.35,61220.81,0.0,4391.2699999999995,6353.4,10097.76,23710.91
2021-01-04 19,41.39,59428.78,59367.55,0.0,4367.67,6369.01,9010.21,22107.4
2021-01-04 20,42.9,56120.74,57010.68,0.0,4132.47,6318.58,7659.23,21110.68
2021-01-04 21,41.94,52602.89,54048.28,0.0,3801.25,6307.01,6515.7,17435.77
2021-01-04 22,40.0,49517.229999999996,51678.77,0.0,3466.26,6297.01,6309.87,15596.55
2021-01-04 23,41.82,47439.5,50572.63,0.0,3514.9,6238.54,6462.87,14831.18
2021-01-05 00,41.98,46104.0,49174.63,0.0,3317.51,6241.52,7019.43,12882.119999999999
2021-01-05 01,41.92,45111.32,48059.08,0.0,3192.53,6195.25,7146.23,12106.36
2021-01-05 02,42.0,44886.97,47650.4,0.0,2928.06,6215.4,7355.7,12135.24
2021-01-05 03,41.96,45454.520000000004,47695.619999999995,0.0,2912.21,6174.39,7553.469999999999,12181.11
2021-01-05 04,45.0,47261.83,49040.13,0.0,3025.41,6019.1900000000005,8534.99,14145.94
2021-01-05 05,36.97,51879.17,52511.0,0.0,2948.98,5841.75,9368.61,18928.21
2021-01-05 06,45.1,58383.850000000006,57527.42,0.0,2829.16,5784.46,10778.7,25218.84
2021-01-05 07,58.08,64049.06,62909.76,0.0,2594.27,5360.96,11738.1,27565.91
2021-01-05 08,60.0,65565.31,64300.5,6.460000000000001,2156.8199999999997,4796.5599999999995,11986.3,28562.09
2021-01-05 09,59.22,66046.57,66298.52,23.0,2185.27,4580.51,12020.0,28105.42
2021-01-05 10,60.47,66440.57,66138.05,33.25,2322.86,4548.76,12023.36,27662.47
2021-01-05 11,59.51,66353.92,66567.18,32.43,2455.9300000000003,4597.12,12049.27,27969.99
2021-01-05 12,64.35,66247.94,65861.67,26.62,2291.69,4850.780000000001,12059.19,27886.77
2021-01-05 13,59.91,66144.92,65707.15,19.38,2170.3,5117.26,12052.369999999999,27680.61
2021-01-05 14,60.87,66110.62,65934.43,6.62,2295.45,5031.0599999999995,12050.84,27380.27
2021-01-05 15,62.21,66501.14,67291.58,0.05,2351.3900000000003,4830.530000000001,12045.27,27090.21
2021-01-05 16,62.98,68770.38,68992.28,0.0,2293.69,4913.68,12003.67,27158.510000000002
