"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 00:15","BZN|NL","9911.58","11330.30"
"01/01/2023 00:15 - 01/01/2023 00:30","BZN|NL","9812.90","11251.05"
"01/01/2023 00:30 - 01/01/2023 00:45","BZN|NL","9877.39","11153.63"
"01/01/2023 00:45 - 01/01/2023 01:00","BZN|NL","9860.77","11044.50"
"01/01/2023 01:00 - 01/01/2023 01:15","BZN|NL","9846.87","10929.34"
"01/01/2023 01:15 - 01/01/2023 01:30","BZN|NL","9800.93","10819.00"
"01/01/2023 01:30 - 01/01/2023 01:45","BZN|NL","9746.14","10720.65"
"01/01/2023 01:45 - 01/01/2023 02:00","BZN|NL","9680.19","10654.14"
"01/01/2023 02:00 - 01/01/2023 02:15","BZN|NL","9639.71","10600.74"
"01/01/2023 02:15 - 01/01/2023 02:30","BZN|NL","9613.28","10566.86"
"01/01/2023 02:30 - 01/01/2023 02:45","BZN|NL","9523.78","10538.71"
"01/01/2023 02:45 - 01/01/2023 03:00","BZN|NL","9439.01","10525.04"
"01/01/2023 03:00 - 01/01/2023 03:15","BZN|NL","9398.10","10508.34"
"01/01/2023 03:15 - 01/01/2023 03:30","BZN|NL","9325.19","10495.74"
"01/01/2023 03:30 - 01/01/2023 03:45","BZN|NL","9260.45","10468.04"
"01/01/2023 03:45 - 01/01/2023 04:00","BZN|NL","9201.58","10445.54"
"01/01/2023 04:00 - 01/01/2023 04:15","BZN|NL","9171.62","10445.88"
"01/01/2023 04:15 - 01/01/2023 04:30","BZN|NL","9145.43","10466.03"
"01/01/2023 04:30 - 01/01/2023 04:45","BZN|NL","9135.88","10457.22"
"01/01/2023 04:45 - 01/01/2023 05:00","BZN|NL","9090.32","10419.98"
"01/01/2023 05:00 - 01/01/2023 05:15","BZN|NL","9090.28","10409.57"
"01/01/2023 05:15 - 01/01/2023 05:30","BZN|NL","9070.44","10463.00"
"01/01/2023 05:30 - 01/01/2023 05:45","BZN|NL","9074.05","10468.37"
"01/01/2023 05:45 - 01/01/2023 06:00","BZN|NL","9087.03","10431.13"
"01/01/2023 06:00 - 01/01/2023 06:15","BZN|NL","9146.69","10447.47"
"01/01/2023 06:15 - 01/01/2023 06:30","BZN|NL","9153.12","10557.50"
"01/01/2023 06:30 - 01/01/2023 06:45","BZN|NL","9175.97","10642.04"
"01/01/2023 06:45 - 01/01/2023 07:00","BZN|NL","9229.21","10714.95"
"01/01/2023 07:00 - 01/01/2023 07:15","BZN|NL","9340.32","10830.30"
"01/01/2023 07:15 - 01/01/2023 07:30","BZN|NL","9378.66","10993.73"
"01/01/2023 07:30 - 01/01/2023 07:45","BZN|NL","9438.93","11155.01"
"01/01/2023 07:45 - 01/01/2023 08:00","BZN|NL","9513.41","11303.87"
"01/01/2023 08:00 - 01/01/2023 08:15","BZN|NL","9619.04","11468.24"
"01/01/2023 08:15 - 01/01/2023 08:30","BZN|NL","9716.01","11653.53"
"01/01/2023 08:30 - 01/01/2023 08:45","BZN|NL","9775.47","11824.79"
"01/01/2023 08:45 - 01/01/2023 09:00","BZN|NL","9767.69","11931.22"
"01/01/2023 09:00 - 01/01/2023 09:15","BZN|NL","9908.43","12014.44"
"01/01/2023 09:15 - 01/01/2023 09:30","BZN|NL","10016.73","12183.01"
"01/01/2023 09:30 - 01/01/2023 09:45","BZN|NL","10105.16","12228.93"
"01/01/2023 09:45 - 01/01/2023 10:00","BZN|NL","10169.49","12256.74"
"01/01/2023 10:00 - 01/01/2023 10:15","BZN|NL","10191.53","12250.81"
"01/01/2023 10:15 - 01/01/2023 10:30","BZN|NL","10131.01","12136.48"
"01/01/2023 10:30 - 01/01/2023 10:45","BZN|NL","10042.79","12017.36"
"01/01/2023 10:45 - 01/01/2023 11:00","BZN|NL","9970.03","11995.65"
"01/01/2023 11:00 - 01/01/2023 11:15","BZN|NL","10035.77","12021.46"
"01/01/2023 11:15 - 01/01/2023 11:30","BZN|NL","10092.57","12043.60"
"01/01/2023 11:30 - 01/01/2023 11:45","BZN|NL","10025.31","12077.78"
"01/01/2023 11:45 - 01/01/2023 12:00","BZN|NL","10085.22","12096.11"
"01/01/2023 12:00 - 01/01/2023 12:15","BZN|NL","10271.48","12065.70"
"01/01/2023 12:15 - 01/01/2023 12:30","BZN|NL","10355.15","12070.64"
"01/01/2023 12:30 - 01/01/2023 12:45","BZN|NL","10451.04","12117.75"
"01/01/2023 12:45 - 01/01/2023 13:00","BZN|NL","10494.43","12196.00"
"01/01/2023 13:00 - 01/01/2023 13:15","BZN|NL","10475.70","12310.74"
"01/01/2023 13:15 - 01/01/2023 13:30","BZN|NL","10414.13","12520.75"
"01/01/2023 13:30 - 01/01/2023 13:45","BZN|NL","10405.58","12642.16"
"01/01/2023 13:45 - 01/01/2023 14:00","BZN|NL","10609.37","12637.97"
"01/01/2023 14:00 - 01/01/2023 14:15","BZN|NL","10839.51","12660.64"
"01/01/2023 14:15 - 01/01/2023 14:30","BZN|NL","11010.44","12679.19"
"01/01/2023 14:30 - 01/01/2023 14:45","BZN|NL","11114.85","12732.66"
"01/01/2023 14:45 - 01/01/2023 15:00","BZN|NL","11172.65","12796.93"
"01/01/2023 15:00 - 01/01/2023 15:15","BZN|NL","11267.82","12852.09"
"01/01/2023 15:15 - 01/01/2023 15:30","BZN|NL","11403.55","12971.66"
"01/01/2023 15:30 - 01/01/2023 15:45","BZN|NL","11470.83","13083.37"
"01/01/2023 15:45 - 01/01/2023 16:00","BZN|NL","11472.79","13140.75"
"01/01/2023 16:00 - 01/01/2023 16:15","BZN|NL","11473.89","13148.76"
"01/01/2023 16:15 - 01/01/2023 16:30","BZN|NL","11689.97","13128.21"
"01/01/2023 16:30 - 01/01/2023 16:45","BZN|NL","11891.99","13223.28"
"01/01/2023 16:45 - 01/01/2023 17:00","BZN|NL","12125.44","13391.14"
"01/01/2023 17:00 - 01/01/2023 17:15","BZN|NL","12345.55","13550.68"
"01/01/2023 17:15 - 01/01/2023 17:30","BZN|NL","12556.51","13627.87"
"01/01/2023 17:30 - 01/01/2023 17:45","BZN|NL","12723.19","13684.97"
"01/01/2023 17:45 - 01/01/2023 18:00","BZN|NL","12812.15","13705.47"
"01/01/2023 18:00 - 01/01/2023 18:15","BZN|NL","12735.19","13666.02"
"01/01/2023 18:15 - 01/01/2023 18:30","BZN|NL","12670.61","13562.08"
"01/01/2023 18:30 - 01/01/2023 18:45","BZN|NL","12582.08","13412.70"
"01/01/2023 18:45 - 01/01/2023 19:00","BZN|NL","12501.51","13270.18"
"01/01/2023 19:00 - 01/01/2023 19:15","BZN|NL","12433.71","13154.66"
"01/01/2023 19:15 - 01/01/2023 19:30","BZN|NL","12356.49","13083.07"
"01/01/2023 19:30 - 01/01/2023 19:45","BZN|NL","12306.02","12991.98"
"01/01/2023 19:45 - 01/01/2023 20:00","BZN|NL","12296.30","12950.30"
"01/01/2023 20:00 - 01/01/2023 20:15","BZN|NL","12204.30","12940.99"
"01/01/2023 20:15 - 01/01/2023 20:30","BZN|NL","12106.17","12959.98"
"01/01/2023 20:30 - 01/01/2023 20:45","BZN|NL","11953.77","12920.24"
"01/01/2023 20:45 - 01/01/2023 21:00","BZN|NL","11840.93","12809.60"
"01/01/2023 21:00 - 01/01/2023 21:15","BZN|NL","11734.45","12733.50"
"01/01/2023 21:15 - 01/01/2023 21:30","BZN|NL","11621.55","12690.38"
"01/01/2023 21:30 - 01/01/2023 21:45","BZN|NL","11473.02","12574.69"
"01/01/2023 21:45 - 01/01/2023 22:00","BZN|NL","11365.93","12479.53"
"01/01/2023 22:00 - 01/01/2023 22:15","BZN|NL","11227.64","12422.02"
"01/01/2023 22:15 - 01/01/2023 22:30","BZN|NL","11092.56","12264.26"
"01/01/2023 22:30 - 01/01/2023 22:45","BZN|NL","10893.09","12040.74"
"01/01/2023 22:45 - 01/01/2023 23:00","BZN|NL","10712.76","11914.14"
"01/01/2023 23:00 - 01/01/2023 23:15","BZN|NL","10576.53","11808.38"
"01/01/2023 23:15 - 01/01/2023 23:30","BZN|NL","10408.67","11719.31"
"01/01/2023 23:30 - 01/01/2023 23:45","BZN|NL","10337.70","11610.18"
"01/01/2023 23:45 - 02/01/2023 00:00","BZN|NL","10292.20","11502.63"
"02/01/2023 00:00 - 02/01/2023 00:15","BZN|NL","10230.21","11446.25"
"02/01/2023 00:15 - 02/01/2023 00:30","BZN|NL","10115.76","11357.24"
"02/01/2023 00:30 - 02/01/2023 00:45","BZN|NL","9980.20","11161.07"
"02/01/2023 00:45 - 02/01/2023 01:00","BZN|NL","9851.66","11057.13"
"02/01/2023 01:00 - 02/01/2023 01:15","BZN|NL","9719.33","10950.50"
"02/01/2023 01:15 - 02/01/2023 01:30","BZN|NL","9568.65","10792.56"
"02/01/2023 01:30 - 02/01/2023 01:45","BZN|NL","9390.88","10687.96"
"02/01/2023 01:45 - 02/01/2023 02:00","BZN|NL","9286.22","10640.29"
"02/01/2023 02:00 - 02/01/2023 02:15","BZN|NL","9252.64","10589.05"
"02/01/2023 02:15 - 02/01/2023 02:30","BZN|NL","9200.41","10508.10"
"02/01/2023 02:30 - 02/01/2023 02:45","BZN|NL","9147.20","10426.23"
"02/01/2023 02:45 - 02/01/2023 03:00","BZN|NL","9091.65","10365.88"
"02/01/2023 03:00 - 02/01/2023 03:15","BZN|NL","9164.16","10313.61"
"02/01/2023 03:15 - 02/01/2023 03:30","BZN|NL","9158.86","10263.67"
"02/01/2023 03:30 - 02/01/2023 03:45","BZN|NL","9207.52","10242.83"
"02/01/2023 03:45 - 02/01/2023 04:00","BZN|NL","9189.75","10212.80"
"02/01/2023 04:00 - 02/01/2023 04:15","BZN|NL","9290.59","10175.91"
"02/01/2023 04:15 - 02/01/2023 04:30","BZN|NL","9324.22","10154.56"
"02/01/2023 04:30 - 02/01/2023 04:45","BZN|NL","9327.33","10132.59"
"02/01/2023 04:45 - 02/01/2023 05:00","BZN|NL","9367.80","10118.14"
"02/01/2023 05:00 - 02/01/2023 05:15","BZN|NL","9499.42","10138.19"
"02/01/2023 05:15 - 02/01/2023 05:30","BZN|NL","9649.75","10212.10"
"02/01/2023 05:30 - 02/01/2023 05:45","BZN|NL","9830.89","10285.25"
"02/01/2023 05:45 - 02/01/2023 06:00","BZN|NL","9989.81","10398.30"
"02/01/2023 06:00 - 02/01/2023 06:15","BZN|NL","10306.03","10569.00"
"02/01/2023 06:15 - 02/01/2023 06:30","BZN|NL","10553.07","10795.86"
"02/01/2023 06:30 - 02/01/2023 06:45","BZN|NL","10843.21","10962.25"
"02/01/2023 06:45 - 02/01/2023 07:00","BZN|NL","11125.77","11121.15"
"02/01/2023 07:00 - 02/01/2023 07:15","BZN|NL","11496.42","11328.78"
"02/01/2023 07:15 - 02/01/2023 07:30","BZN|NL","11711.87","11671.87"
"02/01/2023 07:30 - 02/01/2023 07:45","BZN|NL","11980.36","11964.20"
"02/01/2023 07:45 - 02/01/2023 08:00","BZN|NL","12266.35","12161.58"
"02/01/2023 08:00 - 02/01/2023 08:15","BZN|NL","12615.97","12415.98"
"02/01/2023 08:15 - 02/01/2023 08:30","BZN|NL","12879.17","12676.40"
"02/01/2023 08:30 - 02/01/2023 08:45","BZN|NL","13033.42","12829.88"
"02/01/2023 08:45 - 02/01/2023 09:00","BZN|NL","13141.91","12898.41"
"02/01/2023 09:00 - 02/01/2023 09:15","BZN|NL","13377.27","12976.61"
"02/01/2023 09:15 - 02/01/2023 09:30","BZN|NL","13494.47","13043.82"
"02/01/2023 09:30 - 02/01/2023 09:45","BZN|NL","13580.64","12995.37"
"02/01/2023 09:45 - 02/01/2023 10:00","BZN|NL","13598.09","12880.84"
"02/01/2023 10:00 - 02/01/2023 10:15","BZN|NL","13573.75","12787.50"
"02/01/2023 10:15 - 02/01/2023 10:30","BZN|NL","13610.27","12778.54"
"02/01/2023 10:30 - 02/01/2023 10:45","BZN|NL","13581.15","12666.63"
"02/01/2023 10:45 - 02/01/2023 11:00","BZN|NL","13478.38","12594.90"
"02/01/2023 11:00 - 02/01/2023 11:15","BZN|NL","13489.17","12425.25"
"02/01/2023 11:15 - 02/01/2023 11:30","BZN|NL","13505.55","12234.84"
"02/01/2023 11:30 - 02/01/2023 11:45","BZN|NL","13447.93","12094.00"
"02/01/2023 11:45 - 02/01/2023 12:00","BZN|NL","13337.44","11955.80"
"02/01/2023 12:00 - 02/01/2023 12:15","BZN|NL","13305.21","11842.82"
"02/01/2023 12:15 - 02/01/2023 12:30","BZN|NL","13215.93","11758.71"
"02/01/2023 12:30 - 02/01/2023 12:45","BZN|NL","13162.81","11695.20"
"02/01/2023 12:45 - 02/01/2023 13:00","BZN|NL","13189.83","11629.65"
"02/01/2023 13:00 - 02/01/2023 13:15","BZN|NL","13327.75","11632.09"
"02/01/2023 13:15 - 02/01/2023 13:30","BZN|NL","13420.67","11737.47"
"02/01/2023 13:30 - 02/01/2023 13:45","BZN|NL","13547.83","11804.07"
"02/01/2023 13:45 - 02/01/2023 14:00","BZN|NL","13583.59","11885.87"
"02/01/2023 14:00 - 02/01/2023 14:15","BZN|NL","13671.91","11946.11"
"02/01/2023 14:15 - 02/01/2023 14:30","BZN|NL","13650.57","12073.44"
"02/01/2023 14:30 - 02/01/2023 14:45","BZN|NL","13662.46","12205.17"
"02/01/2023 14:45 - 02/01/2023 15:00","BZN|NL","13688.31","12351.90"
"02/01/2023 15:00 - 02/01/2023 15:15","BZN|NL","13713.29","12519.27"
"02/01/2023 15:15 - 02/01/2023 15:30","BZN|NL","13758.93","12679.18"
"02/01/2023 15:30 - 02/01/2023 15:45","BZN|NL","13796.82","12811.22"
"02/01/2023 15:45 - 02/01/2023 16:00","BZN|NL","13863.74","12893.49"
"02/01/2023 16:00 - 02/01/2023 16:15","BZN|NL","13947.87","12957.55"
"02/01/2023 16:15 - 02/01/2023 16:30","BZN|NL","14103.33","13081.35"
"02/01/2023 16:30 - 02/01/2023 16:45","BZN|NL","14307.06","13321.56"
"02/01/2023 16:45 - 02/01/2023 17:00","BZN|NL","14688.20","13595.45"
"02/01/2023 17:00 - 02/01/2023 17:15","BZN|NL","15032.83","13887.32"
"02/01/2023 17:15 - 02/01/2023 17:30","BZN|NL","15248.54","14025.94"
"02/01/2023 17:30 - 02/01/2023 17:45","BZN|NL","15328.72","14099.19"
"02/01/2023 17:45 - 02/01/2023 18:00","BZN|NL","15357.85","14104.61"
"02/01/2023 18:00 - 02/01/2023 18:15","BZN|NL","15086.97","13985.12"
"02/01/2023 18:15 - 02/01/2023 18:30","BZN|NL","14829.63","13751.68"
"02/01/2023 18:30 - 02/01/2023 18:45","BZN|NL","14661.41","13579.92"
"02/01/2023 18:45 - 02/01/2023 19:00","BZN|NL","14578.47","13413.07"
"02/01/2023 19:00 - 02/01/2023 19:15","BZN|NL","14435.19","13293.90"
"02/01/2023 19:15 - 02/01/2023 19:30","BZN|NL","14289.64","13190.49"
"02/01/2023 19:30 - 02/01/2023 19:45","BZN|NL","14116.01","13075.51"
"02/01/2023 19:45 - 02/01/2023 20:00","BZN|NL","14010.47","12981.95"
"02/01/2023 20:00 - 02/01/2023 20:15","BZN|NL","13814.70","12898.40"
"02/01/2023 20:15 - 02/01/2023 20:30","BZN|NL","13659.72","12730.65"
"02/01/2023 20:30 - 02/01/2023 20:45","BZN|NL","13477.50","12635.05"
"02/01/2023 20:45 - 02/01/2023 21:00","BZN|NL","13323.69","12513.93"
"02/01/2023 21:00 - 02/01/2023 21:15","BZN|NL","13160.03","12431.83"
"02/01/2023 21:15 - 02/01/2023 21:30","BZN|NL","13011.41","12385.58"
"02/01/2023 21:30 - 02/01/2023 21:45","BZN|NL","12828.62","12295.91"
"02/01/2023 21:45 - 02/01/2023 22:00","BZN|NL","12607.56","12161.55"
"02/01/2023 22:00 - 02/01/2023 22:15","BZN|NL","12357.28","12046.29"
"02/01/2023 22:15 - 02/01/2023 22:30","BZN|NL","12214.79","11858.27"
"02/01/2023 22:30 - 02/01/2023 22:45","BZN|NL","11989.02","11621.24"
"02/01/2023 22:45 - 02/01/2023 23:00","BZN|NL","11806.16","11460.78"
"02/01/2023 23:00 - 02/01/2023 23:15","BZN|NL","11628.84","11409.09"
"02/01/2023 23:15 - 02/01/2023 23:30","BZN|NL","11470.42","11398.75"
"02/01/2023 23:30 - 02/01/2023 23:45","BZN|NL","11273.98","11261.48"
"02/01/2023 23:45 - 03/01/2023 00:00","BZN|NL","11116.67","11072.71"
"03/01/2023 00:00 - 03/01/2023 00:15","BZN|NL","10994.05","10952.32"
"03/01/2023 00:15 - 03/01/2023 00:30","BZN|NL","10924.37","10878.21"
"03/01/2023 00:30 - 03/01/2023 00:45","BZN|NL","10764.85","10732.78"
"03/01/2023 00:45 - 03/01/2023 01:00","BZN|NL","10593.24","10583.51"
"03/01/2023 01:00 - 03/01/2023 01:15","BZN|NL","10511.73","10414.29"
"03/01/2023 01:15 - 03/01/2023 01:30","BZN|NL","10465.21","10250.05"
"03/01/2023 01:30 - 03/01/2023 01:45","BZN|NL","10365.01","10113.19"
"03/01/2023 01:45 - 03/01/2023 02:00","BZN|NL","10280.17","10036.88"
"03/01/2023 02:00 - 03/01/2023 02:15","BZN|NL","10236.73","9957.00"
"03/01/2023 02:15 - 03/01/2023 02:30","BZN|NL","10154.33","9860.88"
"03/01/2023 02:30 - 03/01/2023 02:45","BZN|NL","10101.55","9837.44"
"03/01/2023 02:45 - 03/01/2023 03:00","BZN|NL","10031.85","9791.97"
"03/01/2023 03:00 - 03/01/2023 03:15","BZN|NL","10018.22","9770.04"
"03/01/2023 03:15 - 03/01/2023 03:30","BZN|NL","9998.93","9773.93"
"03/01/2023 03:30 - 03/01/2023 03:45","BZN|NL","9991.35","9777.46"
"03/01/2023 03:45 - 03/01/2023 04:00","BZN|NL","9975.09","9784.96"
"03/01/2023 04:00 - 03/01/2023 04:15","BZN|NL","10033.08","9820.35"
"03/01/2023 04:15 - 03/01/2023 04:30","BZN|NL","10017.79","9900.29"
"03/01/2023 04:30 - 03/01/2023 04:45","BZN|NL","10060.92","9946.42"
"03/01/2023 04:45 - 03/01/2023 05:00","BZN|NL","10070.66","9982.54"
"03/01/2023 05:00 - 03/01/2023 05:15","BZN|NL","10189.34","10047.43"
"03/01/2023 05:15 - 03/01/2023 05:30","BZN|NL","10275.01","10178.98"
"03/01/2023 05:30 - 03/01/2023 05:45","BZN|NL","10410.09","10289.45"
"03/01/2023 05:45 - 03/01/2023 06:00","BZN|NL","10556.72","10435.33"
"03/01/2023 06:00 - 03/01/2023 06:15","BZN|NL","10826.29","10669.96"
"03/01/2023 06:15 - 03/01/2023 06:30","BZN|NL","11087.59","10989.03"
"03/01/2023 06:30 - 03/01/2023 06:45","BZN|NL","11295.64","11282.04"
"03/01/2023 06:45 - 03/01/2023 07:00","BZN|NL","11553.91","11563.92"
"03/01/2023 07:00 - 03/01/2023 07:15","BZN|NL","11920.83","11839.12"
"03/01/2023 07:15 - 03/01/2023 07:30","BZN|NL","12229.57","12202.51"
"03/01/2023 07:30 - 03/01/2023 07:45","BZN|NL","12608.93","12519.31"
"03/01/2023 07:45 - 03/01/2023 08:00","BZN|NL","12923.49","12826.54"
"03/01/2023 08:00 - 03/01/2023 08:15","BZN|NL","13269.77","13114.52"
"03/01/2023 08:15 - 03/01/2023 08:30","BZN|NL","13562.41","13373.35"
"03/01/2023 08:30 - 03/01/2023 08:45","BZN|NL","13809.85","13515.24"
"03/01/2023 08:45 - 03/01/2023 09:00","BZN|NL","13932.46","13622.19"
"03/01/2023 09:00 - 03/01/2023 09:15","BZN|NL","14059.59","13687.37"
"03/01/2023 09:15 - 03/01/2023 09:30","BZN|NL","14150.67","13665.79"
"03/01/2023 09:30 - 03/01/2023 09:45","BZN|NL","14114.65","13627.78"
"03/01/2023 09:45 - 03/01/2023 10:00","BZN|NL","14145.09","13544.61"
"03/01/2023 10:00 - 03/01/2023 10:15","BZN|NL","14170.95","13399.19"
"03/01/2023 10:15 - 03/01/2023 10:30","BZN|NL","14108.34","13200.72"
"03/01/2023 10:30 - 03/01/2023 10:45","BZN|NL","14104.78","12980.39"
"03/01/2023 10:45 - 03/01/2023 11:00","BZN|NL","14094.73","12847.76"
"03/01/2023 11:00 - 03/01/2023 11:15","BZN|NL","14059.95","12717.09"
"03/01/2023 11:15 - 03/01/2023 11:30","BZN|NL","14063.95","12522.32"
"03/01/2023 11:30 - 03/01/2023 11:45","BZN|NL","14043.93","12381.04"
"03/01/2023 11:45 - 03/01/2023 12:00","BZN|NL","14069.88","12305.84"
"03/01/2023 12:00 - 03/01/2023 12:15","BZN|NL","14061.90","12255.94"
"03/01/2023 12:15 - 03/01/2023 12:30","BZN|NL","13977.98","12180.23"
"03/01/2023 12:30 - 03/01/2023 12:45","BZN|NL","13906.04","10068.84"
"03/01/2023 12:45 - 03/01/2023 13:00","BZN|NL","13837.86","12185.67"
"03/01/2023 13:00 - 03/01/2023 13:15","BZN|NL","13840.95","12219.54"
"03/01/2023 13:15 - 03/01/2023 13:30","BZN|NL","13835.12","12336.99"
"03/01/2023 13:30 - 03/01/2023 13:45","BZN|NL","13708.18","12538.02"
"03/01/2023 13:45 - 03/01/2023 14:00","BZN|NL","13580.64","12525.18"
"03/01/2023 14:00 - 03/01/2023 14:15","BZN|NL","13544.55","12555.81"
"03/01/2023 14:15 - 03/01/2023 14:30","BZN|NL","13502.00","13032.62"
"03/01/2023 14:30 - 03/01/2023 14:45","BZN|NL","13512.30","13178.89"
"03/01/2023 14:45 - 03/01/2023 15:00","BZN|NL","13565.02","13342.65"
"03/01/2023 15:00 - 03/01/2023 15:15","BZN|NL","13624.32","13574.53"
"03/01/2023 15:15 - 03/01/2023 15:30","BZN|NL","13782.48","13719.38"
"03/01/2023 15:30 - 03/01/2023 15:45","BZN|NL","13927.81","13902.99"
"03/01/2023 15:45 - 03/01/2023 16:00","BZN|NL","14057.03","14014.67"
"03/01/2023 16:00 - 03/01/2023 16:15","BZN|NL","14148.82","14075.16"
"03/01/2023 16:15 - 03/01/2023 16:30","BZN|NL","14326.33","14117.21"
"03/01/2023 16:30 - 03/01/2023 16:45","BZN|NL","14525.55","14277.82"
"03/01/2023 16:45 - 03/01/2023 17:00","BZN|NL","14906.35","14506.67"
"03/01/2023 17:00 - 03/01/2023 17:15","BZN|NL","15252.26","14698.22"
"03/01/2023 17:15 - 03/01/2023 17:30","BZN|NL","15463.96","14789.43"
"03/01/2023 17:30 - 03/01/2023 17:45","BZN|NL","15553.31","14906.43"
"03/01/2023 17:45 - 03/01/2023 18:00","BZN|NL","15512.03","14915.96"
"03/01/2023 18:00 - 03/01/2023 18:15","BZN|NL","15202.52","14779.01"
"03/01/2023 18:15 - 03/01/2023 18:30","BZN|NL","14982.41","14536.48"
"03/01/2023 18:30 - 03/01/2023 18:45","BZN|NL","14826.14","14402.80"
"03/01/2023 18:45 - 03/01/2023 19:00","BZN|NL","14730.52","14300.74"
"03/01/2023 19:00 - 03/01/2023 19:15","BZN|NL","14559.12","14148.77"
"03/01/2023 19:15 - 03/01/2023 19:30","BZN|NL","14353.59","13875.46"
"03/01/2023 19:30 - 03/01/2023 19:45","BZN|NL","14191.94","13699.18"
"03/01/2023 19:45 - 03/01/2023 20:00","BZN|NL","14129.25","13662.75"
"03/01/2023 20:00 - 03/01/2023 20:15","BZN|NL","13885.60","13605.53"
"03/01/2023 20:15 - 03/01/2023 20:30","BZN|NL","13723.02","13496.56"
"03/01/2023 20:30 - 03/01/2023 20:45","BZN|NL","13541.35","13390.12"
"03/01/2023 20:45 - 03/01/2023 21:00","BZN|NL","13379.94","13253.00"
"03/01/2023 21:00 - 03/01/2023 21:15","BZN|NL","13204.62","13150.15"
"03/01/2023 21:15 - 03/01/2023 21:30","BZN|NL","13016.79","13098.30"
"03/01/2023 21:30 - 03/01/2023 21:45","BZN|NL","12800.49","13015.99"
"03/01/2023 21:45 - 03/01/2023 22:00","BZN|NL","12637.68","12888.12"
"03/01/2023 22:00 - 03/01/2023 22:15","BZN|NL","12405.66","12690.23"
"03/01/2023 22:15 - 03/01/2023 22:30","BZN|NL","12247.12","12458.22"
"03/01/2023 22:30 - 03/01/2023 22:45","BZN|NL","12024.62","12296.12"
"03/01/2023 22:45 - 03/01/2023 23:00","BZN|NL","11824.47","12100.69"
"03/01/2023 23:00 - 03/01/2023 23:15","BZN|NL","11724.55","11973.91"
"03/01/2023 23:15 - 03/01/2023 23:30","BZN|NL","11572.88","11862.98"
"03/01/2023 23:30 - 03/01/2023 23:45","BZN|NL","11395.87","11704.44"
"03/01/2023 23:45 - 04/01/2023 00:00","BZN|NL","11232.83","11502.25"
"04/01/2023 00:00 - 04/01/2023 00:15","BZN|NL","11182.41","11387.12"
"04/01/2023 00:15 - 04/01/2023 00:30","BZN|NL","11061.57","11347.48"
"04/01/2023 00:30 - 04/01/2023 00:45","BZN|NL","10924.68","11217.76"
"04/01/2023 00:45 - 04/01/2023 01:00","BZN|NL","10769.00","11059.33"
"04/01/2023 01:00 - 04/01/2023 01:15","BZN|NL","10683.24","10932.86"
"04/01/2023 01:15 - 04/01/2023 01:30","BZN|NL","10601.58","10818.98"
"04/01/2023 01:30 - 04/01/2023 01:45","BZN|NL","10528.77","10746.26"
"04/01/2023 01:45 - 04/01/2023 02:00","BZN|NL","10426.37","10671.72"
"04/01/2023 02:00 - 04/01/2023 02:15","BZN|NL","10421.30","10580.42"
"04/01/2023 02:15 - 04/01/2023 02:30","BZN|NL","10373.42","10482.77"
"04/01/2023 02:30 - 04/01/2023 02:45","BZN|NL","10316.30","10481.27"
"04/01/2023 02:45 - 04/01/2023 03:00","BZN|NL","10262.29","10466.86"
"04/01/2023 03:00 - 04/01/2023 03:15","BZN|NL","10314.11","10455.08"
"04/01/2023 03:15 - 04/01/2023 03:30","BZN|NL","10311.97","10439.31"
"04/01/2023 03:30 - 04/01/2023 03:45","BZN|NL","10262.41","10439.95"
"04/01/2023 03:45 - 04/01/2023 04:00","BZN|NL","10241.25","10410.93"
"04/01/2023 04:00 - 04/01/2023 04:15","BZN|NL","10251.98","10428.29"
"04/01/2023 04:15 - 04/01/2023 04:30","BZN|NL","10267.38","10460.73"
"04/01/2023 04:30 - 04/01/2023 04:45","BZN|NL","10320.60","10471.19"
"04/01/2023 04:45 - 04/01/2023 05:00","BZN|NL","10331.69","10507.74"
"04/01/2023 05:00 - 04/01/2023 05:15","BZN|NL","10459.27","10551.40"
"04/01/2023 05:15 - 04/01/2023 05:30","BZN|NL","10523.53","10605.74"
"04/01/2023 05:30 - 04/01/2023 05:45","BZN|NL","10649.09","10675.18"
"04/01/2023 05:45 - 04/01/2023 06:00","BZN|NL","10809.90","10776.08"
"04/01/2023 06:00 - 04/01/2023 06:15","BZN|NL","11206.96","10989.50"
"04/01/2023 06:15 - 04/01/2023 06:30","BZN|NL","11516.73","11303.94"
"04/01/2023 06:30 - 04/01/2023 06:45","BZN|NL","11733.20","11534.21"
"04/01/2023 06:45 - 04/01/2023 07:00","BZN|NL","11995.27","11716.26"
"04/01/2023 07:00 - 04/01/2023 07:15","BZN|NL","12400.36","12000.74"
"04/01/2023 07:15 - 04/01/2023 07:30","BZN|NL","12727.72","12489.70"
"04/01/2023 07:30 - 04/01/2023 07:45","BZN|NL","12978.07","12860.98"
"04/01/2023 07:45 - 04/01/2023 08:00","BZN|NL","13171.91","13151.81"
"04/01/2023 08:00 - 04/01/2023 08:15","BZN|NL","13353.35","13436.97"
